Binomial_correct,WD,lnSM,LMA,Hmax,DS
Abarema cochleata,0.527228809,4.748332143,70.87172217,10,EndoZoo
Abarema cochliacarpos,0.585,4.748332143,70.08395104,30,EndoZoo
Abarema filamentosa,0.527228809,4.748332143,76.02542357,15,EndoZoo
Abarema jupunba,0.591611653,4.248495242,61.19690296,45,EndoZoo
Abarema mataybifolia,0.63,4.748332143,77.5621232,28,EndoZoo
Abarema piresii,0.527228809,4.748332143,127.8,22.68571429,EndoZoo
Actinostemon appendiculatus,0.766955883,5.940171253,47.21031189,7.627558036,NonZoo
Aegiphila pernambucensis,0.465257492,3.415979036,54.99448569,14.23333333,EndoZoo
Agonandra brasiliensis,0.841905555,7.575461149,77.01393789,22,EndoZoo
Aiouea guianensis,0.502270133,6.370418315,85.25654002,15.29479167,EndoZoo
Aiouea myristicoides,0.502270133,5.768320996,85.25654002,15.29479167,EndoZoo
Aiouea trinervis,0.502270133,5.768320996,85.25654002,15.29479167,EndoZoo
Albizia pedicellaris,0.499459786,3.352407217,110.0110011,40,EndoZoo
Alchornea glandulosa,0.391045177,3.912099681,64.20562072,27,EndoZoo
Alchornea triplinervia,0.437705936,3.450718291,66.6686217,35,EndoZoo
Alchorneopsis floribunda,0.392103014,1.685727768,32.61899293,30,EndoZoo
Alexa grandiflora,0.65,6.812444099,51.45903915,30,NonZoo
Alibertia edulis,0.727402068,2.624396816,79.0849246,10,EndoZoo
Alibertia sorbilis,0.678284036,4.269509495,64.76986896,15.1425,EndoZoo
Allophylus edulis,0.661251429,3.788614581,61.89807483,20,EndoZoo
Allophylus glabratus,0.39,4.158883083,63.97785411,10.2,EndoZoo
Allophylus latifolius,0.558074214,4.605170186,63.97785411,13.71935291,EndoZoo
Alseis,0.603392863,-1.77523017,48.1332842,26.79,NonZoo
Alseis floribunda,0.85,-1.09861229,69.68155531,23,NonZoo
Amaioua glomerulata,0.659968689,2.201659174,63.25818314,10,EndoZoo
Amaioua guianensis,0.6143,2.329152045,81.2902825,15,EndoZoo
Amaioua pilosa,0.646363127,2.262003434,75.34438889,4,EndoZoo
Amanoa guianensis,0.8649925,5.641907071,88.00000286,30,NonZoo
Ambelania acida,0.524516667,3.912023005,107.3982719,13,EndoZoo
Ampelocera edentula,0.671066177,5.679105487,80.36001286,33,EndoZoo
Amphiodon effusus,0.65,6.809774871,61.60823718,17,NonZoo
Amphirrhox longifolia,0.71,-1.897119985,75.52324699,12,NonZoo
Anacardium giganteum,0.448466667,8.116020956,89.57716611,32.65555556,EndoZoo
Anacardium occidentale,0.463705917,8.325265685,128.3866793,10,EndoZoo
Anacardium parvifolium,0.525386216,8.116020956,89.57716611,32.65555556,EndoZoo
Anacardium spruceanum,0.479166667,8.116020956,89.57716611,32.65555556,EndoZoo
Andira legalis,0.746666667,9.118015287,181.2526327,20,SynZoo
Andira marauensis,0.781416115,9.118015287,69.76957775,35,SynZoo
Andira micrantha,1,9.118015287,69.24030027,35,SynZoo
Andira surinamensis,0.7047675,9.118015287,69.76957775,20.12878788,SynZoo
Andira unifoliolata,0.76,9.118015287,56.70000001,20.12878788,SynZoo
Andira vermifuga,0.781416115,9.433483923,69.76957775,25,SynZoo
Aniba burchellii,0.52,7.487377465,74.96824973,23.3,EndoZoo
Aniba canelilla,0.971881217,7.487377465,74.96824973,30,EndoZoo
Aniba guianensis,0.513132338,8.38822281,65.17205423,20,EndoZoo
Aniba hostmanniana,0.631279988,7.487377465,69.58678857,20,EndoZoo
Aniba intermedia,0.589816621,7.487377465,74.96824973,12,EndoZoo
Aniba kappleri,0.589816621,7.487377465,61.50000001,23.3,EndoZoo
Aniba megaphylla,0.589816621,7.487377465,74.96824973,23.3,EndoZoo
Aniba parviflora,0.54,7.487377465,74.96824973,23.3,EndoZoo
Aniba riparia,0.524757415,7.56112159,55.63901406,16,EndoZoo
Aniba rosaeodora,0.738579365,7.487377465,74.96824973,23.3,EndoZoo
Aniba williamsii,0.637503886,7.487377465,74.96824973,23.3,EndoZoo
Anisophyllea manausensis,0.86,5.799092654,39.82001355,8.1,SynZoo
Annona ambotay,0.642132543,5.469746482,45.60795404,15,EndoZoo
Annona bahiensis,0.482552865,5.614654201,55.90927216,13.14031746,EndoZoo
Annona cacans,0.50775,5.518908916,90.23663224,13.14031746,EndoZoo
Annona densicoma,0.482552865,5.614654201,70.5434979,20,EndoZoo
Annona dolabripetala,0.386666667,5.614654201,55.90927216,13.14031746,EndoZoo
Annona exsucca,0.37471,5.614654201,91.46577769,15,EndoZoo
Annona glabra,0.545,5.198828468,82.60598082,13.14031746,EndoZoo
Annona leptopetala,0.482552865,5.614654201,60.54239528,13.14031746,EndoZoo
Annona muricata,0.36,6.071389479,55.90927216,13.14031746,EndoZoo
Annona neoinsignis,0.425,5.614654201,87.41818864,13.14031746,EndoZoo
Annona paludosa,0.482552865,5.614654201,55.90927216,7,EndoZoo
Annona salzmannii,0.46425,7.264430223,84.64195731,13.14031746,EndoZoo
Annona sylvatica,0.454805725,5.347107531,55.90927216,25,EndoZoo
Annona tenuipes,0.482552865,5.614654201,55.90927216,13.14031746,EndoZoo
Anomalocalyx uleanus,0.37249152,4.948841033,128.0704797,28,NonZoo
Aparisthmium cordatum,0.42498911,3.520257379,44.57505216,25,EndoZoo
Apeiba albiflora,0.245436,1.76439541,59.91692839,25,EndoZoo
Apeiba echinata,0.321075991,2.94020635,70.2216363,36,EndoZoo
Apeiba glabra,0.32,2.653241965,64.10770394,30,EndoZoo
Apeiba tibourbou,0.23760624,1.76439541,53.75787205,25,EndoZoo
Aptandra tubicina,0.7326126,9.630299926,51.94265533,20,SynZoo
Apuleia leiocarpa,0.81310131,4.169901258,43.9337433,42,NonZoo
Arapatiella psilophylla,0.872111111,8.314252347,152.3454592,35,NonZoo
Artocarpus heterophyllus,0.528903028,9.216521231,91.80744357,25,EndoZoo
Aspidosperma album,0.766153611,5.968054969,161.4204467,24.49027778,NonZoo
Aspidosperma araracanga,0.75,5.968054969,84.30946742,24.49027778,NonZoo
Aspidosperma auriculatum,0.763555745,5.968054969,84.30946742,24.49027778,NonZoo
Aspidosperma carapanauba,0.763555745,5.968054969,84.30946742,24.49027778,NonZoo
Aspidosperma desmanthum,0.705309628,6.769641977,107.6586063,40,NonZoo
Aspidosperma discolor,0.759,5.11599781,80.90599159,45,NonZoo
Aspidosperma eteanum,0.763555745,5.968054969,84.30946742,24.49027778,NonZoo
Aspidosperma excelsum,0.752504138,5.968054969,83.00132803,39,NonZoo
Aspidosperma parvifolium,0.749685503,5.298317367,67.49587089,32,NonZoo
Aspidosperma sandwithianum,0.79212,5.968054969,84.30946742,24.49027778,NonZoo
Aspidosperma spruceanum,0.756067745,6.072571304,85.19938078,60,NonZoo
Astronium concinnum,1.0085,3.314546842,69.60321174,45,NonZoo
Astronium graveolens,0.792282968,3.525206166,62.57177495,40,NonZoo
Astronium lecointei,0.790323334,4.269847089,57.48791995,42,NonZoo
Bagassa guianensis,0.70595,1.386294361,67.00167506,50,EndoZoo
Banara brasiliensis,0.654291501,-0.223143551,40.32497992,21.0915,EndoZoo
Banara guianensis,0.571604726,-0.223143551,68.39945283,15,EndoZoo
Bathysa nicholsonii,0.494489205,-1.100693454,112.3733728,7,NonZoo
Batocarpus amazonicus,0.532861766,6.476972363,53.63727792,30.1,EndoZoo
Bauhinia acreana,0.642253049,4.605170186,19.40688851,12,NonZoo
Bauhinia forficata,0.62,4.311073588,39.428508,21,NonZoo
Bauhinia longicuspis,0.642253049,5.640243954,52.51292596,12.33333333,NonZoo
Bauhinia platypetala,0.642253049,5.640243954,52.51292596,12.33333333,NonZoo
Bauhinia ungulata,0.79115067,3.853121898,37.07713343,9,NonZoo
Beilschmiedia curviramea,0.542215,8.430789048,84.6412321,18.12727273,EndoZoo
Bellucia dichotoma,0.54,-2.216407397,193.4,14.25,EndoZoo
Bellucia grossularioides,0.61875,-1.609437912,158.6293546,25,EndoZoo
Bertholletia excelsa,0.630988264,8.809862805,112.6739919,50,SynZoo
Bixa arborea,0.370964286,2.813410717,63.63483986,28,EndoZoo
Bixa excelsa,0.32,3.043011773,61.55539653,24,EndoZoo
Bocageopsis multiflora,0.640253059,5.192956851,74.85029941,29,EndoZoo
Bocoa viridiflora,0.835,8.752523869,90.59999999,35,EndoZoo
Bowdichia nitida,0.803333333,4.258003467,133.4392701,45,NonZoo
Bowdichia virgilioides,0.89075,4.74090228,110.6673159,36,NonZoo
Brosimum acutifolium,0.640298572,7.966817912,55.44774052,35,EndoZoo
Brosimum guianense,0.809746905,6.4449953,61.80508397,30,EndoZoo
Brosimum lactescens,0.652742937,6.607663186,86.08040583,35,EndoZoo
Brosimum paraense,0.82,6.429719478,102.6483269,40,EndoZoo
