"","sp","SLA","VH","LCC","LS","CN","LT","LNC","LDMC"
"1","Actaepachy",402.9080141,50.91666667,44.89846611,1075.855431,16.76486898,0.199703704,0.026781281,0.203299391
"2","Adianpedat",631.8909828,40.5,48.27212016,963.2206074,13.78239237,0.090565217,0.035024485,0.262425394
"3","Ageraaltis",559.7410646,62,43.78906568,57.07553574,13.84442972,0.1704,0.031629375,0.203661681
"4","Agrimgrypo",355.2283856,67.33333333,45.95559756,105.8750736,16.7216664,0.16637037,0.027482666,0.293158482
"5","Alliapetio",787.8008166,54.02222222,42.62647602,29.56150828,10.04496912,0.1578,0.042435647,0.133947706
"6","Alliutrico",408.7681901,24.1875,43.12896665,70.216875,15.36161958,0.379772727,0.028075794,0.085048882
"7","Ambroartem",226.6738098,80.825,42.19666587,77.45765625,10.27307712,0.158888889,0.041075002,0.299643307
"8","Ambrotrifi",169.1201839,151.825,41.65180715,154.9709375,14.4803809,0.21875,0.028764304,0.419857842
"9","Amphibract",905.336276,47.66666667,46.59727033,60.12867973,13.54791304,0.100458333,0.034394427,0.225192709
"10","Androgerar",142.7190044,159.4416667,43.4144853,22.6179017,28.8433294,0.334782609,0.015051829,0.453605435
"11","Anemoacuti",278.6750705,11.86666667,43.25614293,36.30477976,20.43111868,0.206333333,0.021171696,0.243144381
"12","Anemoameri",211.7072279,7,43.26940155,18.82194704,29.10895805,0.274818182,0.014864634,0.265675435
"13","Anemocanad",158.7417664,49.54166667,42.87658755,68.40260417,25.66099507,0.331666667,0.016708856,0.343891708
"14","Anemocylin",124.5658868,34.36666667,44.08876758,26.4275,29.05481699,0.317916667,0.01517434,0.434162543
"15","Anemoquinq",334.3376687,9.429166667,43.74535027,22.69013596,18.08393383,0.230738462,0.024190174,0.215432238
"16","Apocyandro",293.0567922,71.66666667,47.72109604,23.83524603,21.32680487,0.144592593,0.022376111,0.327382079
"17","Aquilcanad",340.8963309,65.12142857,42.91969924,83.84946429,13.97116151,0.18862069,0.030720208,0.239593406
"18","Aralinudic",462.9737113,39.91666667,47.46428617,638.91875,19.09651249,0.1315,0.02485495,0.242890336
"19","Arctiminus",407.1757173,45.25,42.27936427,396.8319113,10.57682999,0.2595,0.039973569,0.131752508
"20","Arisatriph",592.5098457,28.625,46.58459091,280.3634206,13.82764655,0.201785714,0.033689457,0.100237006
"21","Asarucanad",285.2435352,23.5,41.30233637,152.5381325,16.37621532,0.257030303,0.025220929,0.184377466
"22","Asclesyria",140.7137919,128.1416667,44.33072832,105.4405556,20.67043215,0.436071429,0.021446445,0.242244963
"23","Athyrfilix",400.2598201,60.25,47.32298915,1023.289086,15.51488867,0.173266667,0.030501662,0.254969423
"24","Bidenfrond",661.784394,60.125,45.85223198,69.21897656,12.7724634,0.13975,0.035899286,0.20835753
"25","Boehmcylin",670.5174904,49.41666667,42.9822998,57.15819492,11.32941222,0.157740741,0.037938685,0.176594285
"26","Botryvirgi",482.8482891,15,46.11203003,263.1264208,13.88196482,0.159,0.033217221,0.203835242
"27","Bracherect",430.9564592,51.91666667,41.55195491,23.37658709,15.28565868,0.093166667,0.027183621,0.30798263
"28","Calyssepiu",569.2450205,103.3333333,46.00719961,47.30134782,7.608668573,0.1525,0.06046682,0.160368142
"29","Cardaconca",354.9211348,27.625,40.96962302,73.77328125,11.44919429,0.26,0.035783848,0.124485398
"30","Cardadiphy",516.7647881,18.35,41.16956584,61.49305556,10.02718401,0.241666667,0.041057954,0.120783998
"31","Carexalbur",458.1059107,11.91666667,40.99218496,37.94251989,13.91332754,0.20596,0.029462531,0.170348185
"32","Carexarcta",310.84969,23.83333333,45.00070445,13.06570917,24.07536474,0.166791667,0.018691598,0.314583411
"33","Carexbland",361.8403043,25.5,44.82193502,27.94680292,21.27903436,0.252,0.021063895,0.223811237
"34","Carexgrayi",263.2975276,49.25,45.79556179,17.77690163,22.25454662,0.244481481,0.02057807,0.324457764
"35","Carexgrise",288.0667492,33.5,43.67490387,19.71154297,22.52277014,0.285166667,0.019391444,0.270382163
"36","Carexhirti",427.3451558,19.75,42.69391314,25.77629882,19.89129685,0.206615385,0.021463615,0.2371823
"37","Carexintum",327.1058677,52.83333333,45.81517665,18.30111891,22.43512137,0.235375,0.020421185,0.313757679
"38","Carexlupul",273.4609547,47.16666667,44.78217443,41.7354125,20.68324083,0.196416667,0.02165143,0.271608113
"39","Carexmuski",310.2818247,42.66666667,41.88828659,9.754447917,16.83739036,0.165375,0.024878135,0.344529055
"40","Carexpensy",261.0837243,20,45.25420332,5.561033691,28.02012176,0.161060606,0.016150609,0.369573294
"41","Carexrosea",285.9259353,23,44.02938716,5.321941797,28.22445891,0.192740741,0.015599728,0.319722402
"42","Carextucke",315.3094332,49,44.74413554,11.88210417,19.69458521,0.264653846,0.022719004,0.315183967
"43","Carextyphi",356.7005588,42.75,44.94879023,32.47630208,19.0654355,0.208,0.023576063,0.298360065
"44","Caulothali",509.4422949,39.58333333,48.24902089,500.8416159,15.10439215,0.15035,0.031943702,0.220912548
"45","Chenoalbum",358.2911195,49.25,39.04898961,13.91642602,11.70999954,0.186541667,0.033346705,0.200046104
"46","Chimaumbel",108.1576639,10.75,47.07145288,4.924541016,37.22014267,0.3976875,0.012646769,0.377368339
"47","Cicutmacul",473.2753305,84.33333333,44.0075175,214.217794,12.76625472,0.179608696,0.034471753,0.269386864
"48","Cinnaarund",320.7736364,93.16666667,42.83394623,26.24747323,12.21338804,0.159242424,0.035071305,0.323226339
"49","Circalutet",670.0291592,31.24444444,43.00682891,34.94350581,15.21926512,0.179033333,0.028258151,0.142905236
"50","Cirsivulga",174.3523607,141.0833333,40.86410014,66.89989931,14.75929441,0.535066667,0.027687028,0.162861146
"51","Claytvirgi",298.9853148,7.758333333,39.87302399,5.897214792,11.10156296,0.687,0.035916586,0.068067866
