"","site","quads","Lat","Long","MAT","MAP","TSD","PCV","%Sand","%N","BA"
"1",1,40,42.9758,-87.9523,8.917447784,897.8730234,10.48767158,0.684203637,53,0.122744365,32.0333
"186",3,80,42.9394,-88.0368,8.833544907,881.4696002,10.56300401,0.667105136,47,0.285191829,37.5702
"371",4,120,43.0052,-88.0613,8.901223572,862.7852812,10.57385406,0.691088958,69,0.445374937,34.8921
"556",5,120,42.9285,-87.9036,8.88737428,907.7038178,10.47044035,0.678463286,53,0.472130467,34.0201
"741",6,80,43.0336,-88.0435,8.992077751,851.9470865,10.5604818,0.707236107,43,0.26540463,29.1191
"926",9,80,43.1715,-87.8839,8.64024986,871.2583067,10.55162695,0.684451612,45,0.417619529,20.3599
"1111",15,60,42.9132,-88.0473,8.805755434,881.5014942,10.56987931,0.661869085,37,0.277571421,31.0271
"1296",17,80,43.1162,-87.9733,8.834513731,856.8882524,10.54800791,0.699692379,43,0.44200768,29.1696
"1481",19,120,43.16,-87.9558,8.687986495,864.6759201,10.5564362,0.693042023,39,0.423142791,31.4675
"1666",20,80,42.9225,-87.8467,8.860323056,907.9795343,10.47161297,0.670440271,65,0.265268596,21.8761
"1851",21,50,42.9238,-87.8461,8.860423391,907.9921791,10.4715765,0.670716703,53,0.293713392,22.2517
"2036",22,80,42.9383,-87.971,8.881702079,896.7912223,10.50485163,0.673576966,41,0.430025399,29.7946
"2221",1000,80,42.5326,-89.4439,8.504822813,922.0784307,11.04354992,0.680222188,25,0.388947818,15.9481
"2406",1002,120,42.9358,-89.5904,8.259953297,946.2466437,11.11225202,0.679947618,23,0.206915792,37.1215
"2591",1003,120,42.8987,-89.6161,8.258391545,944.3980062,11.10876985,0.682236373,73,0.182896409,29.243
"2776",1004,80,43.0593,-89.7058,8.113867602,965.8142281,11.17836787,0.68732543,67,0.181145589,18.3085
"2961",1005,120,42.8717,-89.7568,8.174348924,922.93127,11.1180105,0.707476204,21,0.315465524,34.4121
"3146",1006,120,42.8632,-89.7881,8.166580136,916.1388156,11.12152905,0.715377706,23,0.287750721,30.9831
"3331",1007,120,43.6105,-88.1721,8.144107229,829.3603671,10.77157961,0.676086623,49,0.39348037,35.253
"3516",1008,120,43.6437,-88.1919,8.108233193,821.6890971,10.79331103,0.67523947,45,0.390180863,24.6595
"3701",1009,120,43.2484,-88.3288,8.295943743,855.0035637,10.78405681,0.713622232,59,0.348543613,17.9165
"3886",1010,80,43.3934,-88.2196,8.247531741,853.732591,10.72715666,0.692540891,53,0.331306858,24.3623
"4071",1012,120,43.8349,-88.2721,7.885775477,784.640698,10.92693532,0.676794659,29,0.225153589,27.7843
"4256",1013,80,43.9832,-88.1893,7.741837132,779.7611273,10.94269809,0.652473347,21,0.353367176,12.7718
"4441",1014,80,42.9657,-88.205,8.709337231,884.4001997,10.68500154,0.69722663,31,0.372097054,19.9228
"4626",1015,80,42.8901,-88.2215,8.686448011,879.5462884,10.66651011,0.672554348,51,0.288997769,23.9573
"4811",1016,120,42.9459,-88.4543,8.554961706,880.9336179,10.81725796,0.68602987,81,0.348035743,48.5485
"4996",1017,120,43.0319,-88.3929,8.530953108,886.777459,10.81084274,0.697412948,51,0.217149155,36.1309
"5181",1018,80,42.8356,-88.3109,8.648999674,874.951267,10.70382128,0.662614002,23,0.352553599,18.9732
"5366",1019,120,43.6458,-88.7555,8.181968362,834.9139898,11.09323448,0.713195557,17,0.266150524,34.5214
"5551",1020,80,43.8326,-88.8584,8.015276472,804.4713545,11.21362906,0.74346276,27,0.299031543,25.2119
"5736",1021,80,43.853,-88.9986,8.03130139,837.6224371,11.26066135,0.716405869,69,0.18297261,16.3394
"5921",1023,120,43.5967,-90.4695,7.710447751,871.324754,11.38496635,0.74758854,53,0.23266667,13.2677
"6106",1024,100,43.6903,-90.5798,7.824985065,846.2425968,11.47201356,0.735847514,51,0.276796389,27.6988
"6291",1025,120,43.7245,-90.888,7.982231118,821.8751596,11.55274321,0.734027825,51,0.53099792,12.978
"6476",1026,120,43.669,-90.9439,8.014514581,840.5184427,11.5813038,0.73881695,29,0.380328848,13.3496
"6661",1027,163,43.267,-89.5435,8.117327363,977.7100472,11.20751488,0.688781552,45,0.325271079,16.9003
"6846",1031,120,43.0811,-88.8275,8.513388071,901.0226526,10.96654229,0.720474597,53,0.251854711,30.8456
"7031",1032,120,42.5279,-89.4627,8.490770903,926.8634038,11.0433782,0.681675193,29,0.346218225,10.4214
"7216",1033,120,42.6472,-89.5378,8.413546836,946.240054,11.05793687,0.693648687,15,0.330950605,26.5278
"7401",1034,120,42.5505,-89.6921,8.407066864,975.2108598,11.06443592,0.726095927,23,0.386149611,27.0471
"7586",1035,120,42.6846,-89.4833,8.441499136,930.4866723,11.06059661,0.681312451,23,0.270878856,38.656
